token	idf
physique	2.2121876044039577
mathias	2.513217600067939
fink	2.513217600067939
un	0.5889383140060573
bel	2.513217600067939
exemple	1.471824914909714
de	0.2957336558540327
chercheur	1.9111576087399766
qui	1.098244252097121
innove	2.0360963453482768
le	0.6619592513488637
27	2.2121876044039577
avril	2.0360963453482768
dernier	1.8142475957319202
cnrs	1.5589750906286142
décernait	2.513217600067939
pour	0.5787191488243713
la	0.4678946212812816
première	1.1909983053340196
fois	1.513217600067939
médaille	2.0360963453482768
l'	0.4128470549503761
innovation	1.1707949192457328
dont	1.471824914909714
valérie	2.2121876044039577
pécresse	2.2121876044039577
ministre	2.2121876044039577
enseignement	2.2121876044039577
supérieur	2.2121876044039577
et	0.5994037476842223
recherche	1.212187604403958
est	1.151489764050346
à	0.7003042434250835
origine	1.9111576087399766
création	1.8142475957319202
souhaite	2.513217600067939
ainsi	1.471824914909714
honorer	2.513217600067939
des	0.5309463670283706
chercheurs	1.471824914909714
ingénieurs	1.8142475957319202
travaillant	2.0360963453482768
dans	0.8797491444883525
établissements	2.2121876044039577
publics	2.513217600067939
universités	1.9111576087399766
grandes	2.2121876044039577
écoles	2.2121876044039577
mais	1.367089564389701
aussi	1.471824914909714
industriels	1.5589750906286142
développent	2.2121876044039577
innovations	2.2121876044039577
marquantes	2.513217600067939
cette	1.3371263410122578
édition	1.4340363540203143
nouvelle	1.6101276130759954
distinction	2.513217600067939
a	1.3371263410122578
été	1.5589750906286142
attribuée	2.513217600067939
trois	1.6681195600536822
réputés	2.513217600067939
économiste	2.513217600067939
esther	2.513217600067939
duflo	2.513217600067939
roboticien	2.2121876044039577
françois	2.2121876044039577
pierrot	2.2121876044039577
physicien	2.513217600067939
directeur	1.9111576087399766
institut	1.471824914909714
langevin	2.513217600067939
ondes	2.2121876044039577
images	2.0360963453482768
créé	2.0360963453482768
en	0.7728549105736952
janvier	2.2121876044039577
2009	2.0360963453482768
au	0.9947036601900515
sein	1.6101276130759954
ecole	1.7350663496842953
chimie	1.8142475957319202
industrielles	1.8142475957319202
ville	2.0360963453482768
paris	1.6681195600536822
espci	2.513217600067939
remarquable	2.513217600067939
ces	1.3090976174120141
innovent	2.513217600067939
les	0.7070376260840519
travaux	1.7350663496842953
son	1.1707949192457328
équipe	1.8142475957319202
ont	1.367089564389701
effet	1.471824914909714
abouti	2.513217600067939
quatre	1.7350663496842953
start	1.8142475957319202
ups	2.513217600067939
totalisent	2.513217600067939
230	2.513217600067939
personnes	2.2121876044039577
domaines	1.8142475957319202
variés	2.513217600067939
que	1.257945094964633
médecine	2.2121876044039577
télécommunications	2.0360963453482768
multimédia	2.513217600067939
ou	1.257945094964633
encore	1.6101276130759954
objets	2.0360963453482768
tactiles	2.513217600067939
j'	2.513217600067939
aime	2.513217600067939
transformer	2.2121876044039577
idées	2.2121876044039577
très	1.4340363540203143
fondamentale	2.513217600067939
produits	1.6101276130759954
innovants	2.513217600067939
précise	1.8142475957319202
d'	0.5889383140060573
emblée	2.0360963453482768
y	1.7350663496842953
parvenir	2.0360963453482768
il	1.257945094964633
fallait	2.513217600067939
trouver	2.0360963453482768
terrain	2.0360963453482768
propice	2.513217600067939
c'	1.4340363540203143
fin	2.2121876044039577
années	2.0360963453482768
1980	2.513217600067939
occasion	1.9111576087399766
une	0.6807086873617026
rencontre	2.0360963453482768
avec	1.133006358356333
georges	2.513217600067939
charpak	2.513217600067939
prix	1.8142475957319202
nobel	2.2121876044039577
1992	2.513217600067939
qu'	1.4340363540203143
va	1.6101276130759954
découvrir	2.513217600067939
coeur	1.9111576087399766
montagne	2.2121876044039577
sainte	2.513217600067939
geneviève	2.513217600067939
plein	2.513217600067939
alors	1.6101276130759954
plus	1.23446399911511
grands	1.5589750906286142
laboratoires	2.0360963453482768
français	2.0360963453482768
du	0.6558851036366705
solide	2.513217600067939
faire	1.7350663496842953
autour	1.257945094964633
concept	2.2121876044039577
renversement	2.513217600067939
temps	1.6101276130759954
belle	2.513217600067939
comme	1.367089564389701
qualifient	2.513217600067939
connaisseurs	2.513217600067939
intéresse	2.513217600067939
secteur	1.7350663496842953
aéronautique	2.2121876044039577
dassault	2.513217600067939
aerospatial	2.513217600067939
snecma	2.513217600067939
turboméca	2.513217600067939
prêts	2.513217600067939
financer	2.0360963453482768
époque	2.513217600067939
milieu	2.2121876044039577
peu	2.0360963453482768
enclin	2.513217600067939
travailler	1.9111576087399766
industrie	1.5589750906286142
autant	1.6681195600536822
si	1.8142475957319202
celle	1.7350663496842953
ci	1.6101276130759954
militaro	2.513217600067939
industrielle	1.8142475957319202
se	1.513217600067939
retrouve	2.513217600067939
isolé	2.513217600067939
lui	1.8142475957319202
propose	2.513217600067939
rencontrer	2.513217600067939
pierre	2.513217600067939
gilles	2.513217600067939
gennes	2.513217600067939
jacques	2.513217600067939
lewiner	2.513217600067939
scientifique	1.9111576087399766
endroit	2.513217600067939
sympathique	2.513217600067939
je	2.2121876044039577
ai	2.2121876044039577
rencontré	2.513217600067939
était	2.0360963453482768
ils	1.513217600067939
m'	2.2121876044039577
dit	1.8142475957319202
vous	1.513217600067939
voulez	2.513217600067939
innovez	2.513217600067939
venez	2.513217600067939
résume	2.2121876044039577
ajoute	2.2121876044039577
cela	1.7350663496842953
chance	2.2121876044039577
ma	2.2121876044039577
carrière	2.2121876044039577
êtes	2.513217600067939
amusez	2.513217600067939
vousc'	2.513217600067939
dès	1.8142475957319202
1990	2.513217600067939
ce	1.367089564389701
crée	2.2121876044039577
laboratoire	1.7350663496842953
acoustique	2.513217600067939
école	2.0360963453482768
qualifie	2.513217600067939
d	2.2121876044039577
unique	1.3992742477611022
innover	2.2121876044039577
particulièrement	2.2121876044039577
bien	1.6681195600536822
vu	2.513217600067939
on	1.513217600067939
donne	2.2121876044039577
feu	2.2121876044039577
vert	2.0360963453482768
moment	2.0360963453482768
idée	1.9111576087399766
proposée	2.513217600067939
originale	2.513217600067939
t	1.6101276130759954
autre	1.6101276130759954
particularité	1.9111576087399766
vraiment	2.513217600067939
pas	1.5589750906286142
autres	1.6101276130759954
ecoles	2.513217600067939
pluridisciplinarité	2.513217600067939
règne	2.513217600067939
ne	1.513217600067939
