token	substitution
de	
l'	
et	
à	
la	
le	
en	
les	
des	
d'	
pour	
du	
une	
un	
au	
qui	
ce	
dans	
par	
est	
cette	
que	
sur	
ainsi	
plus	
avec	
s'	
c'	
qu'	
se	
sont	
dont	
aussi	
a	
ci	
ces	
mais	
comme	
été	
ou	
être	
également	
explique	
il	
effet	
où	
précise	
cela	
rappelle	
donc	
ne	
si	
deux	
alors	
son	
résume	
entre	
aujourd'	
hui	
crédits	
étant	
aux	
sein	
très	
indique	
tout	
dernier	
particulier	
y	
autres	
autant	
fait	
même	
sa	
cours	
déjà	
celle	
n'	
celui	
encore	
ont	
notamment	
on	
souligne	
autre	
depuis	
jusqu'	
peut	
objectif	
plusieurs	
dire	
ses	
là	
pas	
cadre	
exemple	
années	
enthousiasme	
certains	
développement	développement
dit	dit
observe	observe
t	t
afin	afin
elle	elle
quelques	quelques
peu	peu
faire	faire
ans	ans
permet	permet
lâche	lâche
monde	monde
mécénat	mécénat
klorane	klorane
hostile	hostile
colossale	colossale
dirigées	dirigées
transcontinentale	transcontinentale
nigérian	nigérian
olusegun	olusegun
obasanjo	obasanjo
sahélosahariens	sahélosahariens
sad	sad
ougadougou	ougadougou
densifier	densifier
confondre	confondre
dunes	dunes
1973	1973
rythmée	rythmée
dure	dure
humide	humide
mousson	mousson
incertaine	incertaine
parcourues	parcourues
zébus	zébus
moutons	moutons
chèvres	chèvres
climatologie	climatologie
perturbée	perturbée
exercée	exercée
7700	7700
ohm	ohm
545	545
plantée	plantée
poussaient	poussaient
alentours	alentours
acacias	acacias
gmv	gmv
méticuleuses	méticuleuses
rémunéré	rémunéré
allégement	allégement
ménagers	ménagers
corvée	corvée
chargent	chargent
survenant	survenant
pare	pare
aménagés	aménagés
commençaient	commençaient
réapparaître	réapparaître
reboisées	reboisées
bétail	bétail
résumée	résumée
protégés	protégés
perdues	perdues
doctorant	doctorant
tracé	tracé
durcourneau	durcourneau
chasse	chasse
autorise	autorise
pasteurs	pasteurs
herbe	herbe
protégées	protégées
mordre	mordre
maraîchage	maraîchage
270	270
appartenant	appartenant
cultivent	cultivent
caillé	caillé
coucous	coucous
mil	mil
diagnostiqué	diagnostiqué
hypertension	hypertension
prescrire	prescrire
préventif	préventif
rendues	rendues
dispensaire	dispensaire
procurer	procurer
hésitant	hésitant
vendre	vendre
bêtes	bêtes
dépenses	dépenses
incessant	incessant
instituteurs	instituteurs
curieusement	curieusement
camions	camions
intelligemment	intelligemment
lentement	lentement
cnrst	cnrst
