article	token
67068	Physique
67068	Mathias
67068	Fink
67068	un
67068	bel
67068	exemple
67068	de
67068	chercheur
67068	qui
67068	innove
67068	Le
67068	27
67068	avril
67068	dernier
67068	le
67068	CNRS
67068	décernait
67068	pour
67068	la
67068	première
67068	fois
67068	la
67068	Médaille
67068	de
67068	l'
67068	Innovation
67068	dont
67068	Valérie
67068	Pécresse
67068	ministre
67068	de
67068	l'
67068	Enseignement
67068	Supérieur
67068	et
67068	de
67068	la
67068	Recherche
67068	est
67068	à
67068	l'
67068	origine
67068	de
67068	la
67068	création
67068	Le
67068	CNRS
67068	souhaite
67068	ainsi
67068	honorer
67068	des
67068	chercheurs
67068	et
67068	ingénieurs
67068	travaillant
67068	dans
67068	des
67068	établissements
67068	publics
67068	de
67068	recherche
67068	des
67068	universités
67068	des
67068	grandes
67068	écoles
67068	mais
67068	aussi
67068	des
67068	industriels
67068	qui
67068	développent
67068	des
67068	innovations
67068	marquantes
67068	Pour
67068	cette
67068	première
67068	édition
67068	cette
67068	nouvelle
67068	distinction
67068	a
67068	été
67068	attribuée
67068	à
67068	trois
67068	chercheurs
67068	réputés
67068	l'
67068	économiste
67068	Esther
67068	Duflo
67068	le
67068	roboticien
67068	François
67068	Pierrot
67068	et
67068	le
67068	physicien
67068	Mathias
67068	Fink
67068	Directeur
67068	de
67068	l'
67068	Institut
67068	Langevin
67068	Ondes
67068	et
67068	Images
67068	créé
67068	en
67068	janvier
67068	2009
67068	au
67068	sein
67068	de
67068	l'
67068	Ecole
67068	de
67068	Physique
67068	et
67068	de
67068	Chimie
67068	Industrielles
67068	de
67068	la
67068	Ville
67068	de
67068	Paris
67068	ESPCI
67068	Mathias
67068	Fink
67068	est
67068	un
67068	remarquable
67068	exemple
67068	de
67068	ces
67068	chercheurs
67068	qui
67068	innovent
67068	Les
67068	travaux
67068	de
67068	son
67068	équipe
67068	ont
67068	en
67068	effet
67068	abouti
67068	à
67068	la
67068	création
67068	de
67068	quatre
67068	start
67068	ups
67068	qui
67068	totalisent
67068	230
67068	personnes
67068	dans
67068	des
67068	domaines
67068	aussi
67068	variés
67068	que
67068	la
67068	médecine
67068	les
67068	télécommunications
67068	le
67068	multimédia
67068	ou
67068	encore
67068	les
67068	objets
67068	tactiles
67068	J'
67068	aime
67068	transformer
67068	des
67068	idées
67068	de
67068	physique
67068	très
67068	fondamentale
67068	en
67068	produits
67068	innovants
67068	précise
67068	d'
67068	emblée
67068	Mathias
67068	Fink
67068	Mais
67068	pour
67068	y
67068	parvenir
67068	il
67068	fallait
67068	trouver
67068	le
67068	terrain
67068	propice
67068	Et
67068	c'
67068	est
67068	à
67068	la
67068	fin
67068	des
67068	années
67068	1980
67068	à
67068	l'
67068	occasion
67068	d'
67068	une
67068	rencontre
67068	avec
67068	Georges
67068	Charpak
67068	le
67068	prix
67068	Nobel
67068	de
67068	Physique
67068	1992
67068	qu'
67068	il
67068	va
67068	le
67068	découvrir
67068	au
67068	coeur
67068	de
67068	la
67068	Montagne
67068	Sainte
67068	Geneviève
67068	en
67068	plein
67068	Paris
67068	Alors
67068	physicien
67068	au
67068	sein
67068	d'
67068	un
67068	des
67068	plus
67068	grands
67068	laboratoires
67068	français
67068	de
67068	physique
67068	du
67068	solide
67068	Mathias
67068	Fink
67068	souhaite
67068	faire
67068	de
67068	l'
67068	innovation
67068	autour
67068	du
67068	concept
67068	de
67068	renversement
67068	du
67068	temps
67068	De
67068	la
67068	belle
67068	physique
67068	comme
67068	la
67068	qualifient
67068	les
67068	connaisseurs
67068	qui
67068	plus
67068	est
67068	qui
67068	intéresse
67068	quatre
67068	grands
67068	industriels
67068	du
67068	secteur
67068	aéronautique
67068	Dassault
67068	Aerospatial
67068	Snecma
67068	Turboméca
67068	prêts
67068	à
67068	financer
67068	des
67068	travaux
67068	Mais
67068	à
67068	cette
67068	époque
67068	le
67068	milieu
67068	de
67068	la
67068	recherche
67068	est
67068	encore
67068	peu
67068	enclin
67068	à
67068	travailler
67068	avec
67068	l'
67068	industrie
67068	d'
67068	autant
67068	plus
67068	si
67068	celle
67068	ci
67068	est
67068	militaro
67068	industrielle
67068	Aussi
67068	Mathias
67068	Fink
67068	se
67068	retrouve
67068	isolé
67068	Georges
67068	Charpak
67068	lui
67068	propose
67068	alors
67068	de
67068	rencontrer
67068	Pierre
67068	Gilles
67068	de
67068	Gennes
67068	alors
67068	directeur
67068	de
67068	l'
67068	ESPCI
67068	et
67068	Jacques
67068	Lewiner
67068	le
67068	directeur
67068	scientifique
67068	C'
67068	est
67068	un
67068	endroit
67068	sympathique
67068	lui
67068	précise
67068	Georges
67068	Charpak
67068	Je
67068	les
67068	ai
67068	rencontré
67068	L'
67068	endroit
67068	était
67068	en
67068	effet
67068	très
67068	sympathique
67068	Ils
67068	m'
67068	ont
67068	alors
67068	dit
67068	vous
67068	voulez
67068	Innovez
67068	Alors
67068	venez
67068	résume
67068	Mathias
67068	Fink
67068	qui
67068	ajoute
67068	cela
67068	a
67068	été
67068	la
67068	chance
67068	de
67068	ma
67068	carrière
67068	Vous
67068	êtes
67068	chercheur
67068	amusez
67068	vousC'
67068	est
67068	ainsi
67068	que
67068	dès
67068	1990
67068	ce
67068	physicien
67068	crée
67068	le
67068	Laboratoire
67068	Ondes
67068	et
67068	Acoustique
67068	dans
67068	une
67068	école
67068	qu'
67068	il
67068	qualifie
67068	d
67068	unique
67068	Innover
67068	est
67068	particulièrement
67068	bien
67068	vu
67068	à
67068	l'
67068	ESPCI
67068	et
67068	l'
67068	on
67068	vous
67068	donne
67068	le
67068	feu
67068	vert
67068	du
67068	moment
67068	que
67068	l'
67068	idée
67068	proposée
67068	est
67068	très
67068	originale
67068	précise
67068	t
67068	il
67068	Autre
67068	particularité
67068	de
67068	cette
67068	école
67068	vraiment
67068	pas
67068	comme
67068	les
67068	autres
67068	Grandes
67068	Ecoles
67068	la
67068	pluridisciplinarité
67068	qui
67068	y
67068	règne
67068	Ne
67068	cherchez
67068	pas
67068	vous
67068	n'
67068	y
67068	trouverez
67068	pas
67068	comme
67068	ailleurs
67068	un
67068	département
67068	de
67068	physique
67068	un
67068	département
67068	de
67068	chimie
67068	et
67068	un
67068	département
67068	de
67068	biologie
67068	Ici
67068	on
67068	vous
67068	dit
67068	dès
67068	le
67068	départ
67068	vous
67068	êtes
67068	chercheur
67068	amusez
67068	vous
67068	souligne
67068	t
67068	il
67068	avec
67068	une
67068	pointe
67068	d'
67068	humour
67068	Et
67068	c'
67068	est
67068	en
67068	s'
67068	amusant
67068	que
67068	lui
67068	et
67068	son
67068	équipe
67068	ont
67068	développé
67068	les
67068	fameux
67068	miroirs
67068	à
67068	retournement
67068	temporel
67068	qui
67068	permettent
67068	d'
67068	échantillonner
67068	et
67068	d'
67068	enregistrer
67068	un
67068	champ
67068	acoustique
67068	incident
67068	puis
67068	de
67068	le
67068	réémettre
67068	dans
67068	une
67068	chronologie
67068	inversée
67068	Mathias
67068	Fink
67068	et
67068	ses
67068	collaborateurs
67068	se
67068	sont
67068	rendus
67068	compte
67068	en
67068	effet
67068	que
67068	faire
67068	revivre
67068	à
67068	une
67068	onde
67068	sa
67068	vie
67068	passée
67068	permettait
67068	de
67068	focaliser
67068	cette
67068	onde
67068	à
67068	sa
67068	source
67068	d'
67068	une
67068	façon
67068	très
67068	efficace
67068	Ils
67068	commencèrent
67068	alors
67068	à
67068	travailler
67068	d'
67068	abord
67068	sur
67068	les
67068	ultrasons
67068	puis
67068	sur
67068	les
67068	ondes
67068	sismiques
67068	et
67068	les
67068	micro
67068	ondes
67068	Cette
67068	équipe
67068	aurait
67068	pu
67068	se
67068	limiter
67068	à
67068	publier
67068	d'
67068	excellents
67068	papiers
67068	dans
67068	des
67068	publications
67068	réputées
67068	comme
67068	Physical
67068	Review
67068	Mais
67068	ces
67068	chercheurs
67068	ont
67068	compris
67068	très
67068	vite
67068	qu'
67068	au
67068	delà
67068	de
67068	cette
67068	belle
67068	physique
67068	il
67068	y
67068	avait
67068	des
67068	applications
67068	potentielles
67068	Ainsi
67068	le
67068	renversement
67068	du
67068	temps
67068	permettait
67068	de
67068	brûler
67068	une
67068	tumeur
67068	mais
67068	aussi
67068	de
67068	détruire
67068	un
67068	composant
67068	électronique
67068	ou
67068	encore
67068	de
67068	voir
67068	derrière
67068	un
67068	mur
67068	ou
67068	d'
67068	envoyer
67068	des
67068	informations
67068	à
67068	un
67068	endroit
67068	précis
67068	dans
67068	une
67068	pièce
67068	Progressivement
67068	nous
67068	avons
67068	donc
67068	développé
67068	un
67068	certain
67068	nombre
67068	d'
67068	instruments
67068	originaux
67068	qui
67068	ont
67068	fini
67068	par
67068	déboucher
67068	sur
67068	la
67068	création
67068	de
67068	plusieurs
67068	start
67068	ups
67068	indique
67068	t
67068	il
67068	A
67068	partir
67068	du
67068	concept
67068	de
67068	renversement
67068	du
67068	temps
67068	Mathias
67068	Fink
67068	et
67068	son
67068	équipe
67068	ont
67068	découvert
67068	qu'
67068	il
67068	était
67068	possible
67068	de
67068	créer
67068	des
67068	images
67068	d'
67068	une
67068	autre
67068	façon
67068	Aussi
67068	sont
67068	ils
67068	parvenus
67068	à
67068	fabriquer
67068	des
67068	imageurs
67068	du
67068	corps
67068	humain
67068	grâce
67068	auxquels
67068	il
67068	est
67068	possible
67068	d'
67068	obtenir
67068	10
67068	000
67068	images
67068	par
67068	seconde
67068	du
67068	corps
67068	humain
67068	Nous
67068	avons
67068	pu
67068	alors
67068	découvrir
67068	que
67068	le
67068	corps
67068	humain
67068	était
67068	parcouru
67068	d'
67068	ondes
67068	que
67068	jamais
67068	personne
67068	n'
67068	avait
67068	observé
67068	jusqu'
67068	alors
67068	s'
67068	enthousiasme
67068	t
67068	il
67068	La
67068	pluridisciplinarité
67068	clé
67068	de
67068	la
67068	réussite
67068	de
67068	l'
67068	Institut
67068	Langevin
67068	Ondes
67068	et
67068	Images
67068	Le
67068	renversement
67068	du
67068	temps
67068	aurait
67068	il
67068	des
67068	effets
67068	sur
67068	l'
67068	âge
67068	de
67068	ceux
67068	qui
67068	le
67068	pratiquent
67068	Au
67068	delà
67068	de
67068	la
67068	boutade
67068	Mathias
67068	Fink
67068	âgé
67068	aujourd'
67068	hui
67068	de
67068	65
67068	ans
67068	pourrait
67068	le
67068	laisser
67068	croire
67068	tant
67068	son
67068	enthousiasme
67068	reste
67068	intact
67068	Ainsi
67068	en
67068	2009
67068	a
67068	t
67068	il
67068	concrétisé
67068	le
67068	rapprochement
67068	de
67068	son
67068	laboratoire
67068	avec
67068	un
67068	autre
67068	laboratoire
67068	de
67068	l'
67068	ESPCI
67068	celui
67068	d'
67068	Optique
67068	Physique
67068	en
67068	créant
67068	l'
67068	Institut
67068	Langevin
67068	Ondes
67068	et
67068	Images
67068	dont
67068	il
67068	est
67068	le
67068	directeur
67068	Arnaud
67068	Tourin
67068	et
67068	Rémi
67068	Carminatti
67068	en
67068	étant
67068	les
67068	deux
67068	directeurs
67068	adjoints
67068	Cette
67068	Unité
67068	Mixte
67068	de
67068	Recherche
67068	CNRS
67068	ESPCI
67068	ParisTech
67068	UPMC
67068	Université
67068	Paris
67068	Diderot
67068	qui
67068	compte
67068	une
67068	centaine
67068	de
67068	personnes
67068	a
67068	pour
67068	coeur
67068	de
67068	métier
67068	la
67068	physique
67068	des
