token	idf
innovants	1.33712634
entreprises	0.63815634
jamais	1.02185591
le	0.00267259
000	0.74978961
échantillonner	2.51321760
il	0.14960562
front	2.21218760
chance	1.73506635
abouti	1.81424760
espci	1.81424760
universités	1.08185384
années	0.50038038
réputées	2.03609635
boutade	2.51321760
innovations	1.08185384
biomédical	2.51321760
ci	0.34590027
vousc'	2.51321760
fois	0.53549399
conclut	1.30909762
sur	0.09657709
effets	1.08185384
arnaud	1.81424760
pour	0.02185591
coeur	0.94501588
département	1.25794509
milieu	1.21218760
observé	1.36708956
montagne	1.91115761
fondamentaux	2.03609635
un	0.03321066
rémi	2.21218760
français	0.70030424
isolé	1.91115761
sein	0.39594630
on	0.40262789
avec	0.14586168
personne	1.19099831
par	0.07073783
équipe	0.64398588
écoles	1.43403635
précise	0.59940375
multi	1.73506635
prix	1.03609635
incident	2.03609635
directeur	0.70703763
chronologie	2.21218760
a	0.12582777
façon	0.85045977
geneviève	1.91115761
trouverez	2.21218760
imagerie	1.36708956
quatre	1.11527759
prêts	2.21218760
filtre	2.21218760
jusqu'	0.54473465
possible	0.86976492
vert	1.73506635
électronique	1.33712634
fabriquer	1.36708956
trois	0.56873493
rendus	2.03609635
roboticien	2.21218760
rencontré	1.73506635
revivre	2.21218760
ceux	0.79721426
dès	0.72082591
ingénieurs	0.86000509
hui	0.39264367
aux	0.24370466
françois	1.47182491
dit	0.72788777
déboucher	1.81424760
créé	1.21218760
aujourd'	0.39264367
adjoints	2.51321760
économiste	1.81424760
cela	0.60473258
sont	0.19935038
ici	0.92215299
concept	1.30909762
innove	1.91115761
innovation	0.62672687
pratiquent	1.91115761
champ	1.43403635
delà	1.03609635
occasion	0.68070869
ailleurs	0.90043374
distinction	1.91115761
envoyer	2.03609635
mais	0.25076651
rencontrer	1.66811956
ondes	1.47182491
dans	0.04932461
grands	0.88996831
tumeur	1.91115761
chimie	1.02185591
médaille	1.47182491
âge	1.47182491
grâce	0.64398588
précis	1.55897509
élastographie	2.51321760
particulièrement	0.90043374
est	0.05533570
ministre	1.43403635
travaux	0.52644587
originale	1.33712634
concrétisé	2.51321760
techniques	0.84111974
nouvelle	0.64989474
croire	1.51321760
langevin	2.21218760
poussées	2.51321760
moment	1.33712634
décernait	2.51321760
souhaite	1.17079492
notre	0.72788777
carminatti	2.51321760
imageurs	2.21218760
photo	2.03609635
aerospatial	2.51321760
humain	1.33712634
informations	1.11527759
êtes	2.03609635
potentielles	2.03609635
2009	1.21218760
attribuée	2.21218760
georges	1.81424760
retrouve	1.51321760
qualifie	2.03609635
transformer	1.81424760
laisser	1.91115761
aventure	1.28276868
donc	0.41979591
réputés	1.66811956
résume	0.78082384
découvert	1.36708956
limiter	1.66811956
propose	1.06605957
poursuit	1.28276868
ville	1.33712634
emblée	1.28276868
applications	0.74236559
nouvelles	0.78894173
tourin	2.51321760
directeurs	2.03609635
ai	1.25794509
valérie	2.21218760
passant	1.39927425
miroirs	2.21218760
création	0.90043374
celui	0.54008975
enclin	2.21218760
ups	1.81424760
laboratoire	0.54473465
toujours	0.86000509
vous	0.82302152
développé	0.86976492
